image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
2.png,protein,0.30,1,2212.5,124.5,0.9729,mahalanobis,1.2893866666666667,0
2.png,salt,0.30,1,2371.5,-42.0,1.8818,mahalanobis,1.2893866666666667,1
4.png,energy,0,0,324.0,65.0,1.5084,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,313.0,163.5,1.4132,mahalanobis,1.3109640287769784,1
4.png,energy,56,0,335.5,223.5,1.5736,mahalanobis,1.3109640287769784,1
4.png,energy,6.7,0,334.5,277.0,1.8456,mahalanobis,1.3109640287769784,1
4.png,energy,0.12,0,369.0,390.5,2.5924,mahalanobis,1.3109640287769784,1
4.png,valore energetico,0,0,646.5,60.0,1.2959,mahalanobis,1.3109640287769784,0
4.png,valore energetico,0,0,635.5,158.5,1.1501,mahalanobis,1.3109640287769784,0
4.png,valore energetico,56,0,658.0,218.5,1.329,mahalanobis,1.3109640287769784,1
4.png,valore energetico,6.7,0,657.0,272.0,1.6295,mahalanobis,1.3109640287769784,1
4.png,valore energetico,0.12,0,691.5,385.5,2.4289,mahalanobis,1.3109640287769784,1
4.png,valor energetico,0,0,2015.5,56.0,0.6823,mahalanobis,1.3109640287769784,0
4.png,valor energetico,0,0,2004.5,154.5,0.1738,mahalanobis,1.3109640287769784,0
4.png,valor energetico,56,0,2027.0,214.5,0.6911,mahalanobis,1.3109640287769784,0
4.png,valor energetico,6.7,0,2026.0,268.0,1.1545,mahalanobis,1.3109640287769784,0
4.png,valor energetico,0.12,0,2060.5,381.5,2.1377,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,1608.5,56.0,0.7658,mahalanobis,1.3109640287769784,0
4.png,energy,0,0,1597.5,154.5,0.3961,mahalanobis,1.3109640287769784,0
4.png,energy,56,0,1620.0,214.5,0.7697,mahalanobis,1.3109640287769784,0
4.png,energy,6.7,0,1619.0,268.0,1.2035,mahalanobis,1.3109640287769784,0
4.png,energy,0.12,0,1653.5,381.5,2.1603,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,1150.5,56.0,0.9895,mahalanobis,1.3109640287769784,0
4.png,energy,0,0,1139.5,154.5,0.7457,mahalanobis,1.3109640287769784,0
4.png,energy,56,0,1162.0,214.5,0.9891,mahalanobis,1.3109640287769784,0
4.png,energy,6.7,0,1161.0,268.0,1.3545,mahalanobis,1.3109640287769784,1
4.png,energy,0.12,0,1195.5,381.5,2.2435,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,2517.5,52.0,0.8128,mahalanobis,1.3109640287769784,0
4.png,energy,0,0,2506.5,150.5,0.3987,mahalanobis,1.3109640287769784,0
4.png,energy,56,0,2529.0,210.5,0.7648,mahalanobis,1.3109640287769784,0
4.png,energy,6.7,0,2528.0,264.0,1.1864,mahalanobis,1.3109640287769784,0
4.png,energy,0.12,0,2562.5,377.5,2.1445,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,3511.0,45.5,1.4132,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,3500.0,144.0,1.177,mahalanobis,1.3109640287769784,0
4.png,energy,56,0,3522.5,204.0,1.3348,mahalanobis,1.3109640287769784,1
4.png,energy,6.7,0,3521.5,257.5,1.5971,mahalanobis,1.3109640287769784,1
4.png,energy,0.12,0,3556.0,371.0,2.3824,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,3007.0,45.0,1.0993,mahalanobis,1.3109640287769784,0
4.png,energy,0,0,2996.0,143.5,0.7723,mahalanobis,1.3109640287769784,0
4.png,energy,56,0,3018.5,203.5,0.9868,mahalanobis,1.3109640287769784,0
4.png,energy,6.7,0,3017.5,257.0,1.3189,mahalanobis,1.3109640287769784,1
4.png,energy,0.12,0,3052.0,370.5,2.1985,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,3982.5,32.5,1.7961,mahalanobis,1.3109640287769784,1
4.png,energy,0,0,3971.5,131.0,1.5541,mahalanobis,1.3109640287769784,1
