image_id,nutrient,column,best_quantity,dx,dy,best_deviation,likely_missing
8.png,sugars,0,21271,814.0,8.0,1.3833,1
119.jpeg,davongesattigtefettsauren,0,21,693.0,88.5,1.377,1
4.png,salt,0,0.12,1220.5,-4.5,1.3752,1
30.png,fibre,0,130,1010.0,126.0,1.3747,1
118.jpeg,protein,0,0.70,764.5,-12.0,1.3745,1
53.png,energy,0,<0.5,2382.0,283.0,1.3725,1
51.png,energyenergie kj,1,<0.5,1880.0,330.0,1.3713,1
53.png,of which sugars i davon zucker dont sucres i waarvan sukers,1,0.13,1334.5,227.5,1.3707,1
114.jpeg,caffeine,0,80,862.5,-17.5,1.3659,0
4.png,fat,0,56,369.5,161.0,1.3647,0
53.png,energy,1,<0.5,1883.0,293.5,1.3647,0
116.jpeg,saturated fats,1,4.6,474.5,155.0,1.3617,0
63.png,calcium,1,166.7,2684.0,11.5,1.3613,0
63.png,saturated fats,1,0.6,2058.5,216.0,1.3592,0
64.png,zinc,0,3.0,1197.5,-11.5,1.3585,0
61.png,calcium,1,50,2074.0,-6.0,1.3585,0
116.jpeg,saturated fats,0,1.4,747.0,153.5,1.3575,0
61.png,saturated fats,0,0.6,2030.5,198.0,1.3567,0
90.png,carbohydrate,0,6.0,1578.5,145.5,1.3553,0
9.jpeg,vitamin c,1,60,203.5,1.0,1.3535,0
51.png,energyenergie kj,0,<0.5,2420.0,340.0,1.353,0
118.jpeg,protein,1,0.56,611.0,-13.5,1.3469,0
53.png,of which sugars i davon zucker dont sucres i waarvan sukers,2,0.21,1644.5,338.0,1.3454,0
53.png,of which sugars i davon zucker dont sucres i waarvan sukers,3,0.35,1132.0,356.5,1.3454,0
106.png,vitamines et sels minéraux/vitamine,0,12,56.5,1053.0,1.3423,0
119.jpeg,davongesattigtefettsauren,1,17,521.0,82.0,1.3391,0
119.jpeg,protein,1,0.56,686.5,-2.5,1.338,0
102.png,fat,1,1.1,982.5,170.0,1.3364,0
57.jpeg,fat,0,0.26g,229.5,-14.0,1.3328,0
105.png,fat,0,6.3,1484.0,356.0,1.3248,0
9.jpeg,vitamin czuachten,0,5,76.0,37.0,1.3241,0
108.jpeg,vitamin e,0,509,411.0,82.5,1.3241,0
42.png,sodium,0,240,981.0,-4.5,1.3167,0
59.png,fat,1,<0.02,1856.0,411.5,1.314,0
120.jpeg,copper,0,45,348.0,98.5,1.308,0
114.jpeg,caffeine,1,268,460.0,9.0,1.307,0
107.png,biotin,0,6,1239.5,232.0,1.3061,0
30.png,carbohydrate,0,3.6,1002.5,245.0,1.2978,0
103.jpeg,protein,0,7.7,118.0,-2.5,1.2956,0
90.png,carbohydrate,1,10,873.5,122.0,1.2818,0
117.jpeg,fibre,0,0.04,628.5,91.0,1.2809,0
115.png,protein,0,0.05,802.5,-3.0,1.2809,0
61.png,fat,1,14.6,2243.0,196.0,1.2771,0
9.jpeg,zinc,1,60,216.5,13.5,1.2764,0
30.png,fibre,1,70,629.0,120.0,1.2699,0
101.png,sodium,0,36,1147.0,-10.0,1.2672,0
116.jpeg,salt,1,2.02,592.5,11.5,1.2671,0
82.jpeg,protein,0,60,104.5,33.5,1.2662,0
4.png,salt,0,0.12,2202.5,-10.5,1.2648,0
45_1.png,sodium,0,240,957.5,-44.0,1.2643,0
34.png,folic acid,0,0.9,778.0,104.0,1.2633,0
105.png,fat,1,51.4,679.5,607.5,1.2624,0
63.png,of which sugars/ davon zucker / di cul zuccheri /dont sucres/ de los cuales azücares/od tega sladkorji,1,1.73,2107.0,144.0,1.2619,0
63.png,fat,0,14.6,2305.5,214.0,1.2604,0
116.jpeg,salt,0,0.61,862.0,2.5,1.2586,0
1.png,magnesiumoxid,0,333,1717.5,187.0,1.2577,0
59.png,vitamin c,1,60,1815.0,53.0,1.2568,0
59.png,vitamin c,0,300,712.0,71.0,1.2557,0
4.png,salt,0,0.12,1699.0,-6.5,1.2541,0
90.png,magnesium,0,0.10,1777.0,-56.0,1.2514,0
41.png,carbohydrate,0,0,1468.5,297.0,1.2512,0
105.png,protein,0,0.00,1390.5,16.5,1.2506,0
63.png,saturated fats,0,0.2,1566.5,207.0,1.2489,0
106.png,e sali minerali/vitaminok es asvanyi,0,12,51.5,925.5,1.2485,0
88.png,saturated fats,1,3.5,1061.0,269.5,1.2484,0
61.png,sugars,0,1.73,2079.0,130.0,1.2471,0
113.jpeg,caffeine,1,80,791.0,18.5,1.2428,0
102.png,salt,1,0.14,876.0,-43.0,1.242,0
106.png,magnesium,0,250,509.5,107.5,1.2338,0
33.png,potassium,0,105,1192.0,95.0,1.2243,0
61.png,saturated fats,1,0.2,1526.0,202.0,1.2243,0
42.png,fat,0,38,1469.0,492.5,1.222,0
121.jpeg,salt,0,0.09,508.5,13.0,1.2198,0
121.jpeg,salt,1,0.20,643.5,15.5,1.2076,0
201.jpeg,salt,1,0.02,1013.5,13.5,1.2064,0
26.png,carbohydrate,0,0.11,1019.5,207.0,1.2012,0
91.png,protein,0,0.10,986.0,98.0,1.1995,0
30.png,sodium,1,70,761.5,4.0,1.1976,0
4.png,proteines,0,0.12,792.0,60.0,1.1959,0
30.png,carbohydrate,1,70,616.5,362.0,1.1949,0
91.png,salt,0,0.10,1104.5,-1.0,1.1948,0
201.jpeg,salt,0,0.05,759.0,10.5,1.1931,0
88.png,fat,0,1.6,1723.0,74.5,1.1925,0
105.png,davon gesattigte,1,7.0,463.5,771.5,1.1922,0
12.png,protein,0,0.4,916.0,69.5,1.1916,0
12.png,protein,1,0.6,649.0,68.5,1.1876,0
88.png,saturated fats,0,11,1589.0,321.0,1.1872,0
4.png,protein,0,0.12,3043.0,34.5,1.185,0
102.png,protein,0,0.02,1612.0,41.5,1.18,0
4.png,energy,0,0,3500.0,144.0,1.177,0
107.png,niacin,0,6,1236.5,396.0,1.1737,0
106.png,anyagok/vitamini in minerali,0,12,53.0,796.0,1.1717,0
17.png,vitamin b12,0,0.38,1101.0,2.5,1.17,0
63.png,fat,1,48.7,2799.0,216.0,1.1662,0
201.jpeg,cukry/di cui zuccheri/z toho cukry/de los cuales azucares/dos quais acucares,0,0.05,589.0,109.5,1.1651,0
61.png,fat,0,48.7,2748.0,194.0,1.1646,0
117.jpeg,salt,0,0.04,709.0,-1.5,1.1625,0
17.png,caffeine,1,15,1929.5,219.0,1.1595,0
113.jpeg,caffeine,2,267,399.5,30.5,1.1583,0
63.png,of which sugars/ davon zucker / di cul zuccheri /dont sucres/ de los cuales azücares/od tega sladkorji,0,0.52,1617.0,128.5,1.158,0
119.jpeg,protein,0,0.70,856.5,7.5,1.1556,0
45_2.png,fat,0,38,1215.5,796.5,1.1537,0
4.png,valore energetico,0,0,635.5,158.5,1.1501,0
82.jpeg,creatine,0,3,194.5,9.5,1.1421,0
120.jpeg,selenium,0,45,359.0,139.5,1.1411,0
6.png,green tea,0,1,1402.5,22.5,1.141,0
41.png,fat,0,16156,1845.0,518.0,1.1399,0
56.jpeg,fat,1,4.3,208.5,24.5,1.1379,0
201.jpeg,cukry/di cui zuccheri/z toho cukry/de los cuales azucares/dos quais acucares,1,0.02,843.5,112.5,1.1359,0
105.png,davon gesattigte,0,1.9,1230.5,517.0,1.1358,0
61.png,sugars,1,0.52,1573.5,130.0,1.1327,0
56.jpeg,fat,0,0.268,319.5,8.0,1.1316,0
107.png,folic acid,0,6,1183.5,50.0,1.1245,0
20.png,vitamin b1,0,153,1850.5,68.5,1.1228,0
116.jpeg,fat,0,8.2,885.5,150.5,1.1086,0
116.jpeg,fat,1,27.0,612.0,148.5,1.1036,0
64.png,niacin,0,2.5,1201.5,528.5,1.1027,0
30.png,sodium,0,130,1142.5,10.0,1.0954,0
119.jpeg,fat,1,3.2,728.5,70.5,1.0932,0
88.png,fat,1,4.1,1216.0,238.5,1.0907,0
51.png,fat fett matieres grassesvetten,2,0.21,2067.0,825.0,1.0901,0
27.png,vitamin d,0,37,1015.5,131.5,1.0835,0
53.png,fat |fett |matieres grasses |vetten,2,0.21,2042.0,757.0,1.0803,0
53.png,fat |fett |matieres grasses |vetten,3,0.35,1529.5,775.5,1.0803,0
105.png,protein,1,0.03,626.0,132.5,1.0788,0
4.png,carbohydrate,0,0.12,746.5,165.0,1.0746,0
4.png,sugars,0,0.12,733.0,114.0,1.0682,0
119.jpeg,fat,0,4.0,899.5,74.5,1.0654,0
103.jpeg,fibre,0,7.7,102.0,18.5,1.0578,0
104.jpeg,salt,0,0.1,139.0,4.5,1.0525,0
102.png,fibre,0,0.02,1528.5,182.0,1.043,0
53.png,dont acides gras saturés waarvan verzadigde vetzuren,1,62,1407.0,195.0,1.042,0
4.png,fat,0,56,779.5,158.5,1.0362,0
20.png,vitamin b12,1,1000,839.0,104.5,1.0327,0
88.png,protein,0,0.33,1621.5,90.0,1.0307,0
20.png,niacin,1,10.7,885.0,295.0,1.0297,0
30.png,energy,0,9.1,1255.0,259.5,1.0277,0
1.png,magnesiummalat,0,333,1686.0,-3.0,1.0268,0
102.png,davon gesattigte,0,0.6,1511.5,411.0,1.0244,0
59.png,eiweib/protein,1,<0.1,1830.0,419.5,1.0232,0
53.png,dont acides gras saturés waarvan verzadigde vetzuren,2,0.21,1706.0,557.5,1.023,0
53.png,dont acides gras saturés waarvan verzadigde vetzuren,3,0.35,1193.5,576.0,1.023,0
59.png,eiweib/protein,0,<0.3,720.0,496.5,1.0179,0
20.png,pantothenic acid,0,66706,1827.5,128.5,1.0164,0
51.png,dont acides gras saturéswaarvan verzadigde vetzuren,2,0.21,1737.0,633.5,1.013,0
106.png,magnesium,0,250,486.5,220.0,1.0054,0
88.png,saturated fats,1,3.5,1085.5,372.0,1.004,0
53.png,dont acides gras saturés waarvan verzadigde vetzuren,0,37,1908.0,183.0,1.0036,0
63.png,potassium,0,50,2073.0,44.5,1.0025,0
61.png,potassium,0,166.7,2577.5,52.0,1.0008,0
51.png,proteineiweibprotéineselwitten,2,0.21,2057.0,317.5,0.9989,0
102.png,sugars,0,0.02,1511.0,319.0,0.9952,0
33.png,magnesium,0,140,850.5,201.5,0.9935,0
34.png,vitamin b2,0,3.5,556.0,186.5,0.9934,0
53.png,proteineiweibproteineseiwitten,2,0.21,2023.0,212.0,0.988,0
53.png,proteineiweibproteineseiwitten,3,0.35,1510.5,230.5,0.988,0
26.png,protein,0,0.11,1131.5,41.0,0.987,0
17.png,caffeine,0,0.22,1163.5,444.0,0.9864,0
9.jpeg,zinc,0,30,118.5,13.5,0.9816,0
