image_id,nutrient,column,best_quantity,dx,dy,best_deviation,likely_missing
118.jpeg,energy,0,4.0,789.5,100.5,0.7199,0
42.png,sugars,0,500,1343.5,348.5,0.7174,0
2.png,carbohydrate,1,0,1917.5,274.5,0.7142,0
42.png,protein,0,94,1325.5,529.5,0.7142,0
1.png,magnesium,0,420,1644.0,365.5,0.714,0
105.png,carbohydrate,0,0.8,1275.5,360.0,0.7124,0
27.png,fert/fat,0,2000,1018.5,359.5,0.706,0
88.png,carbohydrate,0,0.33,1687.5,442.5,0.7052,0
91.png,carbohydrate,0,8.0,1060.0,202.0,0.7044,0
42.png,fibre,0,500,1250.0,172.0,0.7038,0
115.png,fibre,0,0.05,718.0,143.0,0.6981,0
120.jpeg,choline,0,5,359.0,451.0,0.6875,0
33.png,energy,0,0,851.5,637.0,0.6864,0
53.png,fat |fett |matieres grasses |vetten,0,<0.5,2223.0,161.5,0.6856,0
20.png,phosphorus,0,66706,1938.5,464.0,0.6827,0
20.png,vitamin c,1,10.7,863.0,356.5,0.6815,0
53.png,fat |fett |matieres grasses |vetten,1,<0.5,1724.0,172.0,0.6808,0
59.png,selenium,1,60,1757.0,142.5,0.6769,0
59.png,selenium,0,300,654.0,160.5,0.6713,0
109.jpeg,sugars,0,0.05,293.5,148.0,0.6677,0
33.png,calcium,0,140,902.5,307.5,0.6675,0
119.jpeg,fibre,1,0.56,631.5,36.5,0.6624,0
20.png,energy,0,120,1803.0,432.0,0.6604,0
59.png,carbohydrate,0,0.3,587.5,299.5,0.6548,0
114.jpeg,salt,0,80,889.0,66.0,0.6534,0
90.png,energy,0,0,1842.0,272.0,0.6525,0
27.png,sefee/selenium,0,37,958.0,234.0,0.6508,0
114.jpeg,salt,1,268,486.5,92.5,0.6485,0
51.png,proteineiweibprotéineselwitten,1,0.13,1719.5,175.5,0.6482,0
101.png,protein,0,36,1164.5,569.5,0.6475,0
34.png,energy,0,0,767.0,478.0,0.6457,0
20.png,vitamin b6,1,1000,859.5,355.0,0.6412,0
34.png,potassium,0,0.8,771.0,514.5,0.6398,0
105.png,energy,0,0.0,1411.0,499.5,0.6388,0
34.png,pantothenic acid,0,3.5,560.0,367.5,0.6375,0
27.png,brewswert/energyvalue,0,49,922.5,321.5,0.6339,0
113.jpeg,salt,1,80,812.5,95.5,0.6322,0
102.png,sugars,1,5.9,762.0,232.5,0.6298,0
107.png,vitamin c,0,200,1179.5,571.5,0.6284,0
117.jpeg,energy,0,6.1,692.5,36.0,0.6261,0
51.png,fat fett matieres grassesvetten,1,<0.5,1731.0,214.0,0.6244,0
201.jpeg,hodnota/energia/energia/valor energetico/energia,1,1.3,993.5,113.0,0.6224,0
33.png,salt,0,55,853.0,567.0,0.6223,0
51.png,fat fett matieres grassesvetten,0,<0.5,2271.0,224.0,0.6196,0
104.jpeg,energy,0,0.6,118.0,50.5,0.617,0
120.jpeg,rutin,0,5,366.0,405.0,0.6164,0
105.png,sugars,1,0.03,492.5,474.5,0.6129,0
51.png,proteineiweibprotéineselwitten,0,0.08,2256.5,196.0,0.6111,0
105.png,energy,1,2.7,609.0,335.0,0.6105,0
91.png,carbohydrate,0,8.0,1071.5,301.5,0.6089,0
33.png,saturated fats,0,0.40,1180.0,555.5,0.6036,0
113.jpeg,protein,1,80,803.5,136.5,0.5979,0
63.png,magnesium,0,50,1880.0,103.0,0.5937,0
103.jpeg,energy,0,0.4,109.0,38.0,0.5912,0
113.jpeg,protein,2,267,412.0,148.5,0.5907,0
201.jpeg,energy,0,4.2,638.0,136.0,0.5899,0
102.png,fibre,1,0.14,768.0,233.0,0.5829,0
113.jpeg,salt,2,267,421.0,107.5,0.5821,0
17.png,niacin,1,15,1845.0,217.0,0.5803,0
107.png,vitamin e,0,6,1176.5,551.5,0.5778,0
33.png,saturated fats,0,0.53,865.0,465.5,0.5762,0
34.png,magnesium,0,0.2,760.5,614.5,0.5755,0
117.jpeg,protein,0,0.04,692.5,45.5,0.5751,0
105.png,carbohydrate,1,7.0,496.5,457.0,0.5731,0
63.png,carbohydrate,1,1.73,2290.5,214.0,0.569,0
201.jpeg,hodnota/energia/energia/valor energetico/energia,0,4.2,735.5,105.5,0.5679,0
108.jpeg,vitamin c,0,16,438.5,97.5,0.567,0
33.png,sugars,0,158,1168.0,461.5,0.5654,0
12.png,sugars,0,0.4,996.5,139.5,0.5632,0
12.png,sugars,1,0.6,729.5,138.5,0.5602,0
114.jpeg,protein,1,268,475.5,138.0,0.5589,0
20.png,energy,1,300,780.5,487.0,0.5574,0
61.png,energy,1,0,2036.0,200.5,0.5548,0
115.png,energy,0,0.2,809.0,279.0,0.5543,0
8.png,carbohydrate,0,2823232,1101.0,171.0,0.5543,0
34.png,fibre,0,2.6,532.5,574.0,0.5519,0
121.jpeg,davongesattigtefettsauren,1,18,508.0,134.0,0.5473,0
61.png,carbohydrate,0,1.73,2261.0,198.0,0.5468,0
121.jpeg,fibre,0,0.09,460.5,71.5,0.5462,0
6.png,potassium,0,9,1363.5,224.5,0.5423,0
34.png,salt,0,72,536.0,577.5,0.5345,0
27.png,mangen/manganese,0,37,917.5,460.0,0.5323,0
121.jpeg,fibre,1,0.20,595.5,74.0,0.5311,0
68.jpeg,a-ure/t-lsoleucin/lisoleudna,0,169,319.0,115.0,0.5284,0
91.png,sugars,0,0.33,1270.0,161.0,0.5255,0
201.jpeg,energy,1,1.3,896.0,143.5,0.5254,0
63.png,energy,0,0,2087.0,220.5,0.5241,0
119.jpeg,fibre,0,0.70,801.5,46.5,0.5161,0
6.png,calcium,0,200,1400.0,217.5,0.5159,0
61.png,magnesium,1,50,1822.0,118.0,0.5083,0
2.png,energy,0,1616,1494.0,201.0,0.5052,0
2.png,energy,1,1616,2099.5,192.0,0.5041,0
102.png,carbohydrate,1,5.9,774.0,340.0,0.5034,0
17.png,vitamin b6,1,15,1849.0,216.0,0.501,0
34.png,vitamin b6,0,3.5,561.0,456.0,0.499,0
107.png,vitamin b6,0,80,1140.0,247.0,0.4974,0
121.jpeg,davongesattigtefettsauren,0,79,369.0,131.5,0.4973,0
53.png,of which saturates i davon gesättigte fettsäuren,1,62,1515.5,295.0,0.4968,0
109.jpeg,carbohydrate,0,1.5,306.0,91.0,0.4945,0
107.png,vitamin b1,0,80,1158.0,600.5,0.4884,0
91.png,fat,0,4.1,1098.0,291.5,0.4868,0
63.png,magnesium,1,166.7,2425.0,132.0,0.4862,0
61.png,magnesium,0,166.7,2387.5,114.0,0.486,0
109.jpeg,fibre,0,0.05,306.0,93.0,0.484,0
105.png,fibre,1,0.03,528.0,301.5,0.484,0
4.png,saturated fats,0,6.7,1584.0,98.5,0.4837,0
120.jpeg,pantothenic acid,0,40,491.5,453.0,0.4821,0
90.png,saturated fats,0,6.0,1692.5,258.5,0.475,0
34.png,zinc,0,0.8,550.5,616.5,0.4701,0
53.png,of which saturates i davon gesättigte fettsäuren,0,37,2016.5,283.0,0.4691,0
115.png,sugars,0,0.05,701.0,283.0,0.4687,0
114.jpeg,protein,0,80,878.0,111.5,0.4654,0
68.jpeg,fa/fe/maeresgrases/vetten/grasas/upidos/grassi,0,0.49,296.0,162.5,0.4613,0
90.png,protein,1,0.16,1030.0,139.5,0.46,0
59.png,saturated fats,0,<0.1,618.0,247.5,0.4596,0
63.png,carbohydrate,0,0.52,1800.5,198.5,0.4564,0
63.png,energy,1,0,2590.5,223.5,0.4553,0
27.png,chromium,0,37,939.0,348.5,0.4544,0
30.png,protein,0,4.9,1191.0,257.5,0.4518,0
20.png,caffeine,0,66706,1824.5,446.5,0.4487,0
51.png,of which saturatesdavon gesättigte feltsauren,1,84,1528.5,240.5,0.4483,0
115.png,carbohydrate,0,11.0,704.0,277.5,0.4466,0
61.png,energy,0,0,2543.5,200.0,0.446,0
109.jpeg,energy,0,0.2,342.5,142.0,0.4439,0
20.png,potassium,0,37.5,1826.0,413.0,0.4391,0
68.jpeg,ssturados/d cul acidigrassisaturi/varav mattat fett,0,579,298.5,205.0,0.4369,0
51.png,of which saturatesdavon gesättigte feltsauren,0,50,2074.5,254.5,0.4332,0
27.png,magnesium,0,10000,986.0,351.5,0.4315,0
82.jpeg,carbohydrate,0,3,170.0,58.0,0.4304,0
12.png,energy,1,0.0,821.5,199.0,0.4301,0
34.png,fat,0,400,557.5,565.0,0.4301,0
20.png,fatt/fat,0,37.5,1909.5,495.0,0.4283,0
4.png,carbohydrate,0,0.12,2544.0,150.5,0.4272,0
12.png,energy,0,0.0,1089.0,199.0,0.4243,0
61.png,carbohydrate,1,0.52,1755.5,198.0,0.4241,0
101.png,energy,0,<0.1,1090.0,310.5,0.4233,0
90.png,energy,1,<0.1,1085.5,242.5,0.4202,0
35.jpeg,vitamin c,0,2.1,209.0,-8.5,0.4197,0
41.png,saturated fats,0,0,1611.5,470.5,0.4189,0
103.jpeg,saturated fats,0,6.1,136.5,51.5,0.4157,0
20.png,ewebb/protein,1,667,849.5,492.0,0.4086,0
34.png,niacin,0,3.5,564.0,542.0,0.4062,0
2.png,saturated fats,0,33,1520.5,264.0,0.4036,0
26.png,saturated fats,0,3.5,1088.5,211.5,0.4012,0
4.png,energy,0,0,2506.5,150.5,0.3987,0
4.png,energy,0,0,1597.5,154.5,0.3961,0
63.png,protein,1,313.3,2569.5,202.0,0.3958,0
61.png,protein,0,333.3,2525.0,180.0,0.3942,0
90.png,saturated fats,0,6.0,1704.0,257.5,0.3919,0
68.jpeg,enegy/eneg/valor energetico k,0,64,326.5,163.5,0.3894,0
4.png,graisses,0,56,2510.0,145.5,0.3887,0
20.png,carbohydrate,0,360,1904.5,376.0,0.3882,0
113.jpeg,davongesattigte fettsauren,2,4,495.0,100.0,0.3818,0
2.png,saturated fats,1,25,2128.0,261.0,0.3789,0
4.png,fat,0,56,1622.0,154.5,0.3784,0
57.jpeg,proteines,0,0.26g,233.0,24.5,0.3782,0
35.jpeg,magnesium,0,4.7,204.0,-8.0,0.3766,0
45_1.png,carbohydrate,0,500,1174.5,468.0,0.3749,0
34.png,vitamin c,0,72,709.5,664.5,0.3715,0
102.png,fettsauren,0,0.6,1586.0,294.0,0.3706,0
113.jpeg,energy,2,4.5,437.5,150.0,0.365,0
121.jpeg,carbohydrate,0,79,460.0,101.5,0.3647,0
108.jpeg,vitamin b12,0,509,442.5,213.5,0.363,0
34.png,carbohydrate,0,25,709.5,655.5,0.3615,0
88.png,carbohydrate,1,0.10,1164.5,292.5,0.3588,0
107.png,vitamin b12,0,50,1147.5,569.0,0.3588,0
20.png,phosphorus,1,40,795.0,477.0,0.3546,0
20.png,vitamin e,0,153,1867.5,320.0,0.3523,0
64.png,vitamin c,0,7.0,1165.0,262.5,0.3479,0
59.png,sodium,0,300,646.5,259.5,0.3477,0
90.png,protein,0,0.10,1737.5,160.0,0.3463,0
59.png,sodium,1,60,1749.5,241.5,0.3437,0
63.png,protein,0,100,2027.0,181.0,0.3425,0
120.jpeg,bifidobacteriumbifidum,0,100,476.5,431.0,0.3397,0
64.png,vitamin b6,0,2.5,1134.0,396.0,0.3359,0
20.png,calcium,1,240,839.5,557.0,0.3356,0
6.png,vitamin c,0,70,1401.0,402.5,0.3326,0
114.jpeg,energy,1,4.8,502.0,149.5,0.3324,0
34.png,vitamin c,0,3.5,581.0,630.0,0.3323,0
59.png,saturated fats,1,30,1716.0,334.5,0.3312,0
42.png,energykj/kcal,0,0,1246.5,370.5,0.3301,0
45_1.png,saturated fats,0,0,1151.0,475.5,0.3287,0
8.png,saturated fats,0,2823232,1096.5,342.5,0.3277,0
30.png,protein,1,2.7,775.0,279.0,0.325,0
105.png,fettsauren,1,15.5,522.5,475.0,0.3223,0
113.jpeg,energy,1,1.3,836.0,146.0,0.3189,0
20.png,chloride,1,40,839.0,547.5,0.3152,0
90.png,saturated fats,1,10,987.5,235.0,0.3143,0
20.png,selenium,0,200,1839.0,454.0,0.3089,0
121.jpeg,carbohydrate,1,35,598.0,134.5,0.3078,0
64.png,vitamin b12,0,3.0,1117.5,261.0,0.3005,0
104.jpeg,saturated fats,0,10,148.0,58.5,0.3002,0
20.png,niacin,0,153,1895.5,384.5,0.2985,0
20.png,chloride,0,1,1841.0,462.5,0.2949,0
20.png,sodium,0,37.5,1841.0,422.0,0.2885,0
61.png,protein,1,100,1953.5,184.0,0.2843,0
42.png,carbohydrate,0,0,1221.5,336.5,0.2837,0
114.jpeg,davongesattigtefettsauren,1,140,535.5,185.0,0.28,0
101.png,fibre,0,0.09,1085.0,372.0,0.2765,0
33.png,carbohydrate,0,158,1020.5,623.5,0.2748,0
4.png,dos quais acucares joista sokeretta deloscualesazucares dont sucres waarvan suikers,0,0.12,2248.0,109.5,0.2747,0
20.png,sodium,1,250,834.5,550.5,0.2709,0
30.png,sugars,0,130,1119.0,250.0,0.2652,0
90.png,saturated fats,1,10,994.5,235.5,0.2622,0
27.png,kuples/copper,0,251,986.0,471.0,0.2581,0
108.jpeg,vitamin b1,0,80,435.5,233.5,0.258,0
118.jpeg,carbohydrate,0,24,724.5,100.5,0.2559,0
105.png,fettsauren,0,1.9,1325.0,381.5,0.2556,0
33.png,fat,0,0,1085.0,530.0,0.2486,0
113.jpeg,fat,2,3.9,452.0,153.5,0.2475,0
103.jpeg,fat,0,51,119.0,41.0,0.2471,0
113.jpeg,davongesattigte fettsauren,1,44,883.5,163.5,0.2455,0
102.png,fettsauren,1,5.1,809.5,343.5,0.2398,0
118.jpeg,carbohydrate,1,19,572.5,100.0,0.2397,0
101.png,sugars,0,0.09,1041.5,556.0,0.2371,0
88.png,carbohydrate,0,0.33,1676.0,331.5,0.2365,0
113.jpeg,fat,1,1.2,846.0,145.5,0.2324,0
104.jpeg,fat,0,72,132.0,54.5,0.2183,0
30.png,sugars,1,70,738.0,244.0,0.2177,0
108.jpeg,vitamin b6,0,12,432.5,164.5,0.2058,0
107.png,vitamin b2,0,80,1146.0,422.5,0.2014,0
64.png,vitamin b2,0,0.6,1147.0,259.5,0.197,0
59.png,energy,0,64.4,631.0,320.0,0.1852,0
45_2.png,saturated fats,0,38,1077.0,421.5,0.1844,0
45_1.png,fat,0,1410,1051.0,398.5,0.184,0
42.png,saturated fats,0,38,1170.0,336.5,0.1814,0
4.png,valor energetico,0,0,2004.5,154.5,0.1738,0
114.jpeg,davongesattigtefettsauren,0,42,918.5,154.5,0.153,0
20.png,magnesium,1,240,809.5,487.5,0.1527,0
108.jpeg,vitamin b2,0,80,434.0,167.0,0.1525,0
4.png,fat,0,56,2119.0,150.5,0.1503,0
114.jpeg,fat,1,4.1,525.0,147.0,0.1456,0
119.jpeg,carbohydrate,1,3.6,639.0,74.5,0.1371,0
20.png,magnesium,0,6,1878.0,470.5,0.1285,0
17.png,vitamin b6,0,0.38,1129.0,226.0,0.1191,0
26.png,energy,0,0,1131.0,190.0,0.1168,0
115.png,fettsauren,0,1.6,747.5,278.5,0.1166,0
101.png,carbohydrate,0,6.3,1053.5,506.0,0.0972,0
108.jpeg,magnesium,0,1.4,434.5,175.5,0.0968,0
57.jpeg,fett,0,43g,214.5,23.5,0.0952,0
20.png,selenium,1,13.3,827.0,481.0,0.093,0
114.jpeg,energy,0,148,915.0,140.0,0.0855,0
20.png,calcium,0,16,1864.5,418.0,0.078,0
27.png,esemb/protein,0,4000,959.0,472.0,0.0684,0
34.png,sugars,0,25,658.0,574.0,0.0676,0
59.png,fibre,1,60,1739.0,341.0,0.0639,0
59.png,fibre,0,300,636.0,359.0,0.0573,0
59.png,energy,1,12.9,1748.0,338.5,0.0479,0
20.png,vitamin c,0,153,1873.5,446.0,0.0448,0
119.jpeg,carbohydrate,0,4.5,811.0,82.5,0.0385,0
114.jpeg,fat,0,1.2,925.0,132.0,0.0384,0
68.jpeg,prter(e/ehws8/proteines/eiwtten/proteinas,0,8.69,312.0,173.5,0.0365,0
20.png,ewebb/protein,0,120,1872.0,434.0,0.0232,0
20.png,potassium,1,250,819.0,481.0,0.0189,0
113.jpeg,energy,0,11,-29.0,44.0,0.0,0
