image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full_pct
1.jpeg,5,1,1,100,100,0,100
101.jpeg,11,12,9,11,11,100,11
102.jpeg,18,18,16,0,50,56,0
103.jpeg,18,16,16,6,81,0,6
104.jpeg,18,16,16,6,75,0,6
105.jpeg,18,8,6,17,100,0,17
106.jpeg,2,5,0,0,0,0,0
107.jpeg,10,4,4,0,0,0,0
108.jpeg,11,5,3,0,0,0,0
109.jpeg,9,7,7,57,100,0,57
110.jpeg,6,3,3,67,67,0,67
111.jpeg,1,2,1,0,0,0,0
112.jpeg,1,2,1,0,0,0,0
113.jpeg,30,13,12,33,92,42,33
114.jpeg,20,18,17,35,94,41,35
115.jpeg,9,6,6,0,0,0,0
116.jpeg,18,16,15,53,93,0,53
117.jpeg,18,8,8,0,38,12,0
118.jpeg,20,13,13,0,54,0,0
119.jpeg,20,5,5,0,80,0,0
12.jpeg,16,0,0,0,0,0,0
120.jpeg,26,33,22,23,55,0,23
121.jpeg,20,17,15,20,93,0,20
122.jpeg,2,0,0,0,0,0,0
15.jpeg,42,0,0,0,0,0,0
16.jpeg,40,0,0,0,0,0,0
17.jpeg,4,2,2,0,0,0,0
2.jpeg,18,9,5,0,20,0,0
20.jpeg,48,0,0,0,0,0,0
201.jpeg,16,7,0,0,0,0,0
26.jpeg,8,0,0,0,0,0,0
30.jpeg,18,0,0,0,0,0,0
33.jpeg,26,0,0,0,0,0,0
34.jpeg,40,1,1,0,0,0,0
35.jpeg,4,4,2,0,50,0,0
4.jpeg,8,0,0,0,0,0,0
41.jpeg,8,0,0,0,0,0,0
42.jpeg,0,12,0,0,0,0,0
45.jpeg,0,12,0,0,0,0,0
56.jpeg,0,3,0,0,0,0,0
6.jpeg,6,0,0,0,0,0,0
61.jpeg,0,12,0,0,0,0,0
8.jpeg,18,0,0,0,0,0,0
9.jpeg,4,1,0,0,0,0,0
